arm,seed,i,cls,offset,heading,mc,n_base
A,42,4188,two_row,0.17664984452861976,3.9377947031304594,0.06883589834401899,33
A,42,4189,two_row,0.160694095647681,4.4490489899355765,0.07780699826593065,31
A,42,4190,two_row,0.22603117597152844,3.2566353937389296,0.056900298780268144,32
A,42,4191,two_row,0.19935798815346928,4.04165557682813,0.07065743117009993,31
A,42,4192,two_row,0.21507314838789815,3.683380876472482,0.06437583322759173,34
A,42,4193,two_row,0.1779173302503838,4.147675515809131,0.07251731152588406,31
A,42,4194,two_row,0.17505435283482285,4.41052092941952,0.07713052113413547,30
A,42,4195,two_row,0.19577491116577317,4.031735354429502,0.07048342835425213,30
A,42,4196,two_row,0.19298609851235415,4.398769195064209,0.07692419773558026,31
A,42,4197,two_row,0.23885693135279829,3.46918762725685,0.06062284874474424,31
A,42,4198,two_row,0.248427705776067,3.99515597807868,0.06984185491356915,32
A,42,4199,two_row,0.2568102958078915,3.810494247459783,0.06660389615195547,34
A,42,4200,two_row,0.29301238250018047,3.2050276128407496,0.05599670292113358,33
A,42,4201,two_row,0.2831591529309743,3.189624988938051,0.05572703753283109,35
A,42,4202,two_row,0.2526485535320249,3.807970182143358,0.06655964760775249,35
A,42,4203,two_row,0.24503823017644266,3.701510852703004,0.06469357884445959,31
A,42,4204,two_row,0.23056728021032347,3.697010442798821,0.06461470353515712,35
A,42,4205,two_row,0.21035581035831752,3.767991364102428,0.06585882682026989,30
A,42,4206,two_row,0.22735637873012782,3.393947340244268,0.059304936020452295,32
A,42,4207,two_row,0.22628186903188752,3.5907217823518565,0.06275209248003331,36
A,42,4208,two_row,0.2001647650127012,4.311966927293659,0.07540042410640177,33
A,42,4209,two_row,0.21422177212761706,4.48673272814309,0.07846871923169785,36
A,42,4210,two_row,0.2904816920266908,3.1435723121851975,0.054920806520508625,29
A,42,4211,two_row,0.2878265426387641,3.2122974317628183,0.056123983958326296,32
A,42,4212,two_row,0.27993978101963063,3.412242840109626,0.059625381871554084,28
A,42,4213,two_row,0.2373815035400818,3.749422143022303,0.06553333398827899,29
A,42,4214,two_row,0.2616486421224263,3.7118513183683546,0.06487481146983795,31
A,42,4215,two_row,0.2807412040845562,3.192019919023772,0.05576896685407254,31
A,42,4216,two_row,0.23465167297934086,3.816709661656459,0.06671285760512649,30
A,42,4217,two_row,0.24227957122339405,3.8559436056980125,0.06740069824013076,29
A,42,4218,two_row,0.23309052727693702,4.364601553152666,0.07632435860262934,29
A,42,4219,two_row,0.28729761880993154,3.5384671374756964,0.06183653766371312,29
A,42,4220,two_row,0.28261437964285613,3.660453558419832,0.06397402801756828,28
A,42,4221,two_row,0.29682840741726413,3.4757080263870272,0.06073707020533315,24
A,42,4222,two_row,0.32152596341411777,2.6066421419804193,0.04552590118759146,27
A,42,4223,two_row,0.30877309362504446,2.530608272133718,0.044196188933276946,28
A,42,4224,two_row,0.27931001432407343,2.794152079489237,0.048805850322471825,28
A,42,4225,two_row,0.2550139922153925,2.783207214961105,0.04861437316201115,26
