arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,3092,two_row,-0.7363311242156614,-3.5364436731428195,-0.22096815540719922,0.09736598223528593,-0.06180108658595664,16,0,slope_mismatch
A,42,3093,single_row,,,,,,15,0,
A,42,3094,none,,,,,,14,0,
A,42,3095,single_row,,,,,,14,0,
A,42,3096,single_row,,,,,,9,0,
A,42,3097,two_row,0.013871996452638258,-1.538735148538136,-0.1990067283699862,0.14528182216912414,-0.026862453100431033,14,0,slope_mismatch
A,42,3098,single_row,,,,,,15,0,
A,42,3099,single_row,,,,,,12,0,
A,42,3100,single_row,,,,,,14,0,
A,42,3101,single_row,,,,,,11,0,
A,42,3102,single_row,,,,,,12,0,
A,42,3103,single_row,,,,,,10,0,
A,42,3104,single_row,,,,,,10,0,
A,42,3105,two_row,-0.21456912955615637,1.1243562482069465,-0.08368298553014657,0.12293546123557883,0.01962623785271613,13,0,slope_mismatch
A,42,3106,none,,,,,,14,0,
A,42,3107,two_row,-0.22218544064709023,0.5197834227746855,-0.09266205855420974,0.11080642056639245,0.009072181006091355,12,1,slope_mismatch
A,42,3108,two_row,-0.10047868397260074,-1.3214027821369867,-0.1875920543422855,0.14145821602689695,-0.02306691915769428,15,2,slope_mismatch
A,42,3109,two_row,0.708211713490658,-1.115430641170375,0.004572167564130043,-0.04351296174842232,-0.01947039709214614,13,0,
A,42,3110,single_row,,,,,,14,0,
A,42,3111,single_row,,,,,,12,0,
A,42,3112,none,,,,,,14,0,
A,42,3113,single_row,,,,,,15,0,
A,42,3114,two_row,-0.09932023150601677,-2.4667270623375335,-0.18512769213797567,0.09896943561238257,-0.04307912826279655,14,0,slope_mismatch
A,42,3115,two_row,-0.032394382439614455,-7.141568183254952,-0.179931090739786,-0.07065572610541235,-0.12529340842259917,14,0,
A,42,3116,two_row,-0.3803297226700879,0.9892545457159179,-0.17784776425184945,0.2123826939370997,0.01726746484262512,13,0,slope_mismatch
A,42,3117,two_row,-0.1504530964843912,-2.74350297717356,-0.19214993791848156,0.09631035984075519,-0.04791978903886319,15,0,slope_mismatch
A,42,3118,two_row,-0.37959913062202055,0.42600323616223357,-0.18892033463033028,0.2037909268450352,0.007435296107352454,15,0,slope_mismatch
A,42,3119,two_row,0.07375396346959684,-9.5221019511079,-0.2074336634980466,-0.1280447143803714,-0.167739188939209,16,0,
A,42,3120,two_row,-0.12225567408183308,-3.3374422743369974,-0.09219093261364403,-0.024439718579336994,-0.05831532559649051,13,0,
A,42,3121,two_row,0.05888245516787055,-7.062588351280591,-0.20108112895644809,-0.0467059741586663,-0.12389355155755719,18,0,
A,42,3122,single_row,,,,,,13,0,
A,42,3123,single_row,,,,,,13,0,
A,42,3124,single_row,,,,,,13,0,
A,42,3125,two_row,-0.512127940044619,1.5389939884076695,-0.09281707175280281,0.14655101969041376,0.026866973968805476,11,0,slope_mismatch
A,42,3126,two_row,-0.08922646852773358,-3.9454234331713405,-0.12156745831345568,-0.01637189553956897,-0.06896967692651232,14,0,
