arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,485,two_row,0.07625189284768857,-4.632708892259569,-0.14651045284919526,-0.015554926179477697,-0.08103268951433648,13,0,
A,42,486,two_row,0.08710078517775388,-4.197172238505723,-0.1532482408991181,0.006476661157129463,-0.07338578987099431,13,0,
A,42,487,two_row,0.16283603711664335,-7.517337426717301,-0.17625886777633154,-0.08766183169476423,-0.13196034973554788,13,0,
A,42,488,two_row,0.04758623607726581,-4.136692672375034,-0.17430324664561536,0.02965400786951706,-0.07232461938804916,15,0,slope_mismatch
A,42,489,two_row,-0.12982391692543988,-0.8116373154092573,-0.17345403348381322,0.1451206512828091,-0.01416669110050206,14,0,slope_mismatch
A,42,490,two_row,0.11707883617670856,-6.549645192417035,-0.2887673527093569,0.059140522310813716,-0.11481341519927159,14,0,slope_mismatch
A,42,491,two_row,0.09568420902784125,-5.752724464730663,-0.3144106574891412,0.11292518062537577,-0.10074273843188272,13,0,steep_slope|slope_mismatch
A,42,492,single_row,,,,,,10,0,
A,42,493,two_row,-0.021074368204206495,-4.0257637456042445,-0.254291575007111,0.1135342007857842,-0.07037868711066342,14,0,slope_mismatch
A,42,494,two_row,0.037680500012307716,-5.694613772248109,-0.402617707181002,0.20318105440703066,-0.09971832638698566,13,0,steep_slope|slope_mismatch
A,42,495,single_row,,,,,,9,0,
A,42,496,single_row,,,,,,11,0,
A,42,497,single_row,,,,,,9,0,
A,42,498,single_row,,,,,,10,0,
A,42,499,single_row,,,,,,10,0,
A,42,500,single_row,,,,,,12,0,
A,42,501,single_row,,,,,,11,0,
A,42,502,single_row,,,,,,10,0,
A,42,503,single_row,,,,,,13,0,
A,42,504,single_row,,,,,,10,0,
A,42,505,single_row,,,,,,11,0,
A,42,506,single_row,,,,,,11,0,
A,42,507,single_row,,,,,,10,0,
A,42,508,none,,,,,,11,0,
A,42,509,single_row,,,,,,10,0,
A,42,510,single_row,,,,,,9,0,
A,42,511,none,,,,,,8,0,
A,42,512,two_row,-0.4474941973439008,9.25999530876867,0.09857479334545606,0.22750405661188383,0.16303942497866994,11,0,
A,42,513,two_row,-0.43138248051164874,8.660646681252231,0.10572923383989614,0.19890806392900792,0.15231864888445204,12,0,
A,42,514,single_row,,,,,,14,0,
A,42,515,single_row,,,,,,10,0,
A,42,516,single_row,,,,,,9,0,
A,42,517,none,,,,,,9,0,
A,42,518,none,,,,,,8,0,
A,42,519,single_row,,,,,,12,0,
A,42,520,single_row,,,,,,11,0,
A,42,521,none,,,,,,12,0,
A,42,522,none,,,,,,8,0,
A,42,523,none,,,,,,7,0,
A,42,524,none,,,,,,7,0,
A,42,525,none,,,,,,6,0,
A,42,526,none,,,,,,10,0,
A,42,527,none,,,,,,7,0,
A,42,528,none,,,,,,5,0,
A,42,529,none,,,,,,7,0,
A,42,530,none,,,,,,9,0,
A,42,531,none,,,,,,5,0,
A,42,532,single_row,,,,,,5,0,
A,42,533,none,,,,,,5,0,
A,42,534,none,,,,,,6,0,
A,42,535,none,,,,,,7,0,
A,42,536,none,,,,,,6,0,
A,42,537,none,,,,,,7,0,
A,42,538,none,,,,,,8,0,
A,42,539,none,,,,,,9,0,
A,42,540,none,,,,,,9,0,
A,42,541,none,,,,,,9,0,
A,42,542,none,,,,,,7,0,
A,42,543,none,,,,,,6,0,
A,42,544,none,,,,,,8,0,
A,42,545,none,,,,,,7,0,
A,42,546,none,,,,,,7,0,
A,42,547,none,,,,,,7,0,
A,42,548,none,,,,,,10,0,
A,42,549,none,,,,,,5,0,
A,42,550,none,,,,,,6,0,
A,42,551,none,,,,,,8,0,
A,42,552,none,,,,,,6,0,
A,42,553,none,,,,,,7,0,
A,42,554,none,,,,,,6,0,
A,42,555,none,,,,,,7,0,
A,42,556,none,,,,,,5,0,
A,42,557,none,,,,,,4,0,
A,42,558,none,,,,,,5,0,
A,42,559,none,,,,,,6,0,
A,42,560,none,,,,,,6,0,
A,42,561,none,,,,,,6,0,
A,42,562,none,,,,,,5,0,
A,42,563,none,,,,,,4,0,
A,42,564,none,,,,,,5,0,
A,42,565,none,,,,,,5,0,
A,42,566,none,,,,,,7,0,
A,42,567,none,,,,,,5,0,
A,42,568,none,,,,,,4,0,
A,42,569,none,,,,,,4,0,
A,42,570,none,,,,,,5,0,
A,42,571,none,,,,,,6,0,
A,42,572,none,,,,,,3,0,
A,42,573,none,,,,,,4,0,
A,42,574,none,,,,,,5,0,
A,42,575,none,,,,,,4,0,
A,42,576,none,,,,,,4,0,
A,42,577,none,,,,,,5,0,
A,42,578,none,,,,,,5,0,
A,42,579,none,,,,,,6,0,
A,42,580,none,,,,,,5,0,
A,42,581,none,,,,,,6,0,
A,42,582,none,,,,,,5,0,
A,42,583,none,,,,,,6,0,
A,42,584,none,,,,,,6,0,
A,42,585,none,,,,,,7,0,
A,42,586,none,,,,,,6,0,
A,42,587,none,,,,,,4,0,
A,42,588,none,,,,,,5,0,
A,42,589,none,,,,,,5,0,
A,42,590,none,,,,,,4,0,
A,42,591,none,,,,,,5,0,
A,42,592,none,,,,,,6,0,
A,42,593,single_row,,,,,,4,0,
A,42,594,none,,,,,,6,0,
A,42,595,none,,,,,,8,0,
A,42,596,none,,,,,,5,0,
A,42,597,none,,,,,,5,0,
A,42,598,none,,,,,,5,0,
A,42,599,none,,,,,,6,0,
A,42,600,none,,,,,,6,0,
A,42,601,none,,,,,,5,0,
A,42,602,none,,,,,,5,0,
A,42,603,none,,,,,,4,0,
