arm,seed,i,cls,offset,heading,mL,mR,mc,n_base,adj,flags
A,42,554,two_row,0.22372100042016424,-0.6088349170740944,-0.010663307341226922,-0.010589840410004579,-0.01062657387561575,13,0,
A,42,555,two_row,0.2066357445428174,-0.7347350694999679,-0.006129937597095488,-0.01951856051178889,-0.01282424905444219,12,0,
A,42,556,two_row,0.14393604590988174,0.6104078850777193,-0.021478655926247075,0.04278671683521151,0.010654030454482216,12,0,
A,42,557,two_row,0.2207568886371306,-3.42526278080794,-0.03532546903787999,-0.0843813983271083,-0.05985343368249414,12,0,
A,42,558,single_row,,,,,,11,0,
A,42,559,two_row,0.18173775911664836,0.01231627387426639,-0.03560827166312844,0.036038190731116894,0.00021495953399422799,11,0,
A,42,560,two_row,0.18521605479546255,-0.7092358954975854,-0.1451582870051563,0.1204000193452048,-0.012379133829975741,12,0,slope_mismatch
A,42,561,two_row,0.2484119991871302,-2.647926777190089,-0.09778786561034881,0.005291923135547161,-0.04624797123740083,12,0,
A,42,562,two_row,0.2060733194869021,-2.220629340272804,-0.06659298039093464,-0.010960442123810388,-0.03877671125737252,14,0,
A,42,563,two_row,0.18822252647604676,-0.9961252492554031,-0.017765592988860858,-0.01700924150151169,-0.017387417245186276,12,0,
A,42,564,two_row,0.16061361298304244,-1.8885082928268424,-0.05333050108335641,-0.012614757097075255,-0.03297262909021583,13,0,
A,42,565,two_row,0.17747507236176407,-3.268181843499487,-0.06127505944826705,-0.05292989480800056,-0.05710247712813381,11,0,
A,42,566,two_row,0.22832398782628216,-1.4673517120666977,-0.037969053767753724,-0.013262384570175999,-0.02561571916896486,11,0,
A,42,567,two_row,0.19564842447054864,-0.266887451140948,-0.007506894147869381,-0.0018093027411610267,-0.0046580984445152036,11,0,
A,42,568,two_row,0.01804046949162985,0.6830127521036592,-0.04865910766687454,0.07250187979238852,0.01192138606275699,12,0,
A,42,569,two_row,0.11593687348449222,2.155769034264742,-0.011762667203770071,0.08704873218733643,0.03764303249178318,12,0,
A,42,570,two_row,0.1469898271614526,-0.8382816864257221,-0.04345819087551974,0.014194551816916054,-0.014631819529301843,11,0,
A,42,571,two_row,0.18847228315766407,-2.3631969440367824,-0.10157907609531901,0.019041131262830992,-0.041268972416244006,13,0,
A,42,572,two_row,0.057422716326057555,-0.35230489362509454,-0.006613465032457571,-0.005684450686749582,-0.006148957859603577,14,0,
A,42,573,two_row,0.15260906176358535,-0.5130618905799177,-0.03750737187910566,0.019597654664172123,-0.00895485860746677,15,0,
A,42,574,single_row,,,,,,12,0,
A,42,575,two_row,-0.04989051548891088,2.7707912724251704,-0.03413847553439881,0.13093280399941623,0.04839716423250871,14,0,
A,42,576,two_row,0.1948856304288279,-1.7794898754185757,-0.0157283256590434,-0.04640756898300594,-0.03106794732102467,13,0,
